news_report_url;news_report_headline;news_report_platform;date_of_publication;author;wire_service;Notes;NO OF SUBS
Gruesome images of farm murder shown in court;NA;STAR;21/03/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Ek is lief vir jou' - Marthella;NA;VOLKSBLAD;09/04/2012;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Hierdie was geen gewone plaasmoord';NA;VOLKSBLAD;27/03/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
SEUN WOU GLO R40 000 OPSYGESIT HE;NA;VOLKSBLAD;19/11/2013;Charne Kemp Andre Damons;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Accused used murder weapon on meerkats;NA;DFA;22/02/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
VERKRAG?;NA;VOLKSBLAD;27/03/2014;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
n Dag Van Antwoorde;NA;VOLKSBLAD;04/09/2014;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Vonnis is 'skokkend';NA;VOLKSBLAD;14/02/2016;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Volbank vir seun, nou man, se apel na moord;NA;RAPPORT;16/03/2013;Sonja Carstens;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Tiener gekrap, bebloed;NA;BEELD;11/10/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Court to decide on fees;NA;DFA;08/11/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Family kept doors locked;NA;DFA;14/11/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Girl took on the killer;NA;DFA;05/11/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Woman's role in farm killing dismissed;NA;TNA;22/03/2013;SAPA;SAPA ;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Accused said it was farm attack;NA;DFA;05/11/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
No truth to right-wing plot;NA;DFA;20/05/2012;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Gesin geskiet: polisie vra nog;NA;RAPPORT;15/08/2014;Jacques Steenkamp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
This is boy who raped sister, killed parents;NA;STAR;26/03/2013;STAFF;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
16-year-old triple murder accused 'had big plans';NA;STAR;26/08/2012;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Seks-kinkel onthul;NA;RAPPORT;05/06/2014;Jacques Steenkamp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Seun se trane self-belang;NA;VOLKSBLAD;13/11/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Mixed DNA found at scene;NA;DFA;20/03/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Marthella het nog geleef, oom';NA;VOLKSBLAD;07/11/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Seun toon emosie toe bewysstukke gewys word;NA;VOLKSBLAD;12/04/2012;Andre Damos;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Waarom polisie swyg oor moorde;NA;VOLKSBLAD;27/03/2013;Dirk Kok;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Kolonel se getuienis laat hof regop sit;NA;VOLKSBLAD;28/03/2014;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Farm murder youth found guilty;NA;TNA;13/12/2012;SAPA;SAPA;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Don dalk weer lid van tentpensteekspan ;NA;VOLKSBLAD;01/11/2013;Maryke Swart;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Trial of boy to continue;NA;DFA;20/11/2013;Norma Wildenboer;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Boy avoids tough questions;NA;DFA;10/04/2012;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Police deny focus on family in farm killings;NA;STAR;04/11/2013;Michael Mokoena;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Steenkamp trial set to resume;NA;DFA;31/10/2013;Norma Wildenboer;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Right wingers were paid 'for hit';NA;DFA;30/06/2012;Norma Wildenboer;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Familielid praat oor moorde;NA;VOLKSBLAD;24/04/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Don is sy ouers se enigste erfgenaam;NA;VOLKSBLAD;17/08/2014;Mike van Rooyen;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
So kan hy erf;NA;RAPPORT;26/07/2013;Herman Scholtz;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
GW-stad: Vrae oor regskoste;NA;VOLKSBLAD;09/10/2016;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Griekwastad-moordenaar wil saak weer laat ondersoek;NA;RAPPORT;13/06/2012;Elaine Swanepoel;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Kommer oor polisie se swye;NA;VOLKSBLAD;16/03/2013;Jana van der Merwe;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Seun se gesig vol bloed ;NA;VOLKSBLAD;02/09/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Griekwastad-moordverhoor vandag in Kby hervat ;NA;VOLKSBLAD;14/10/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Steenkamp accused gets money for trial;NA;DFA;10/04/2012;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Cops not looking at family members after farm tragedy;NA;DFA;22/04/2012;Michael Mokoena;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Griekwastad: Arrestasie kom:;NA;RAPPORT;15/03/2013;Jacques Steenkamp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Daggaplant 'was iets snaaks';NA;VOLKSBLAD;17/05/2014;Vicus Burger;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Waar's Marthella, vra seun glo;NA;VOLKSBLAD;04/08/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Wie betaal nou?;NA;RAPPORT;18/02/2013;Jacques Steenkamp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
N Cape High Court appoints guardian for Steenkamp teenager;NA;DFA;02/10/2012;Patsy Beangstrom;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Steenkamps 'binne minute afgemaai';NA;VOLKSBLAD;06/11/2013;Andre Botha;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Workers describe of tragedy ;NA ;DFA;16/03/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Moord-treur spel: Hof na Naauwhoek;NA ;VOLKSBLAD;31/10/2013;Vicus Burger;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
AWB hit squad carried out farm killing;NA ;CT;25/04/2012;Norma Wildenboer;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Moorde: Tiener is enigste verdagte ;NA ;BEELD;14/04/2012;STAFF;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Mense gaan verras wees;NA ;BEELD;18/10/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
GW-stad moordverhoor uitgestel;NA;VOLKSBLAD;28/08/2015;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Crash claims young man's life;NA;DFA;15/04/2012;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Murder mystery deepens;NA;ST;16/05/2014;Candice Bailey;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Seun 'nie soos Oscar';NA;VOLKSBLAD;13/06/2012;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Vrae oor selfmoord pakt;NA;VOLKSBLAD;13/04/2012;Jana van der Merwe;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Residents blockade higway in protest;NA;DFA;11/03/2013;Michael Mokoena;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Van plaastragedie tot opspraakwekkende hofsaak;NA;VOLKSBLAD;28/04/2012;Theuns Kruger;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Don toon sy staal op vermoorde suster se perd;NA;VOLKSBLAD;07/11/2013;Vicus Burger;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Court examines cellphone records;NA;DFA;26/03/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Seun was opgeruimd hoor hof ;NA ;VOLKSBLAD;09/03/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Seun voel glo eensaam;NA;VOLKSBLAD;11/11/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Steenkamp girl had injured genitals;NA;DFA;05/05/2012;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Polisie swyg nog oor moorde;NA ;VOLKSBLAD;09/04/2012;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Raaisel moorde;NA;VOLKSBLAD;24/04/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Don erf als van ouers;NA;BURGER;29/03/2014;Mike van Rooyen;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Seun klink 'heel goed';NA;VOLKSBLAD;20/04/2012;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Roof nie motoef, se speurder;NA;VOLKSBLAD;03/11/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Wapen'-vrou se sy skiet Steenkamps;NA ;RAPPORT;05/11/2013;Jacques Steenkamp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Cops left out crucial evidence;NA;DFA;14/09/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Stryd om geld uit to boedel;NA;VOLKSBLAD;17/05/2014;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Guardian vows to appeal verdict as Griquatown triple murder case is postponed;NA;SS;06/06/2014;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Gw-stad 'Seun nie psigopaat';NA;VOLKSBLAD;06/11/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Help, hulle is geskiet' ;NA;VOLKSBLAD;13/03/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Foto's nie lekker om te sien se Griekwastad-beskuldigde;NA;VOLKSBLAD;19/11/2013;Vicus Burger;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Die net span stywer;NA;VOLKSBLAD;17/03/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
By die deur in, tot by drie lyke;NA;RAPPORT;20/11/2013;Jacques Steenkamp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Jy lieg oor elke aspek' ;NA;VOLKSBLAD;13/05/2014;Charne Kemp Andre Damons;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Boy who killed in cold blood ;NA;TIMES;15/03/2013;Lin Sampson;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Trane oor moordtoneel - video ;NA;BEELD;27/04/2012;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Don help SA afreken met Australiers;NA;BEELD;10/09/2012;Vicus Burger;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Don wil weer Protea-span haal;NA;VOLKSBLAD;22/08/2012;Jana van der Merwe;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Teen held for murders;NA;NW;24/02/2013;Mike van Rooyen Kaydene Jordaan Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Griekwastad: 'Moord moes verkragting wegsteek';NA;RAPPORT;15/03/2013;Jacques Steenkamp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
No useful fingerprints at family murder scene;NA;STAR;27/03/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Hy en Marthella baklei die dag;NA;BEELD;20/03/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Cameras were not working on night of murders;NA;DFA;19/03/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Met geboe hoof op moordtoneel;NA;VOLKSBLAD;27/03/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Farm murder accused teenager ignored legal advice ;NA;STAR;26/08/2012;SAPA;SAPA;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Court hears details of family execution;NA;SUNDAY TRIBUNE;08/04/2012;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Seun op sy kniee: Hul is almal dood;NA;RAPPORT;01/08/2012;Jacques Steenkamp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Griekwastad: NVG neem nou treurspel onder oe;NA;VOLKSBLAD;14/04/2012;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Moorde: 'Uitslag sal verras' ;NA;VOLKSBLAD;01/11/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Alleged mastermind denies plot;NA;DFA;13/03/2013;Norma Wildenboer;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Griekwastad: Bewysstuk verdwyn;NA;BEELD;14/12/2012;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Don kaptein van nasionale ruiterspan ;NA;VOLKSBLAD;11/11/2016;Maryke Swart;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Laid back 'outback' Griekwastad;NA;TNA;15/05/2014;SA Info Media;SA Info Media;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Seun is manipuleerder';NA;VOLKSBLAD;28/03/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
No gunpowder on boy's hands;NA;DFA;31/08/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Griekwastad rou nog;NA;VOLKSBLAD;17/11/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Seun se 5 'leuens' ;NA;RAPPORT;08/03/2014;Jacques Steenkamp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
GW-stad: media wen;NA;VOLKSBLAD;14/05/2014;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Van bot tot grapmaaker' ;NA;VOLKSBLAD;08/11/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Media wen ronde;NA;VOLKSBLAD;20/03/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Boy was extremely traumatised;NA;DFA;13/12/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Griquatown trial postponed after new development ;NA;STAR;06/04/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Griekwastad: Balju by voog;NA;VOLKSBLAD;08/06/2014;Mike van Rooyen Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Antwoorde sterf saam met Steenkamp-gesin';NA;RAPPORT;28/03/2014;Vicus Burger;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Dit was die weklike verhaalÖ';NA;VOLKSBLAD;29/04/2012;Andre Botha;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Don kan nie skool toe;NA;RAPPORT;01/08/2012;Jacques Steenkamp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Moord op drie: fokus op afdrukke;NA;BEELD;10/03/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Sal kind getuig oor moordtog?;NA;RAPPORT;04/06/2014;Jacques Steenkamp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Seun het gehuil, hoor hof;NA;VOLKSBLAD;09/06/2014;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Seun se geval 'is uiters uniek';NA;VOLKSBLAD;29/09/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Vrae oor geld in seun se saak;NA;RAPPORT;25/06/2014;Jacques Steenkamp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Staat vra swaar vonnis;NA;VOLKSBLAD;05/11/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Seun het geskiet;NA;VOLKSBLAD;17/04/2012;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Gesin se skietdood ontvou;NA;VOLKSBLAD;06/05/2012;Jana van der Merwe Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Don se gesin: Saak kan nog jare duur;NA;RAPPORT;27/04/2012;Jacques Steenkamp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Don help Suid-Afrika om Aussies to klop;NA;VOLKSBLAD;12/03/2013;Vicus Burger;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Boy pleads not guilty to farm killings;NA;STAR;15/03/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Alles het normaal gelyk;NA;VOLKSBLAD;25/03/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Seun vrolik, geselsend op perdebyeenkoms;NA;VOLKSBLAD;05/06/2014;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
 'n Mens stry nie met die Bybel nie,' se minderjarige;NA;VOLKSBLAD;15/08/2014;Vicus Burger;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Griekwastad: Twee jaar later;NA;VOLKSBLAD;22/08/2012;STAFF;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Tiner vas oor kruit op klere;NA;BEELD;20/04/2012;Mike van Rooyen Kaydene Jordaan Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Tralies se VCSV hou roerende seremonie;NA;VOLKSBLAD;14/03/2013;Jana van der Merwe;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Griekwastad: Polisielid maak voute oor trauma;NA;BEELD;12/12/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
New team prepares to take over the case;NA;DFA;27/03/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Teenstrydighede in tienerseun se weergawes;NA;VOLKSBLAD;20/03/2013;Andre Damons;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Teen had slain woman's blood on him ;NA;STAR;14/05/2014;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
n verhaal van verskeuring;NA;VOLKSBLAD;15/12/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Familie het geen se in regspan;NA;RAPPORT;10/03/2014;Hanlie Retief Pieter Malan Jana van der Merwe;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Seun se redes vir uitstel;NA;VOLKSBLAD;25/08/2012;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Dag van gru-feite, trane;NA;VOLKSBLAD;15/04/2012;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Nagmaal toe moord;NA;RAPPORT;01/09/2014;Jacques Steenkamp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Tyd raak min vir Don om apel in te dien;NA;VOLKSBLAD;20/09/2012;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Grey, seun se voog skik;NA;VOLKSBLAD;28/03/2013;Mike van Rooyen;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Ondersoeker getuig oor wroeging ;NA;VOLKSBLAD;17/12/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Moorde trek nederlandse skrywer;NA;VOLKSBLAD;26/08/2012;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Mens wil nie weet nie;NA;RAPPORT;17/05/2014;Hanlie Retief;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
There was just something sinister about this Easter farm bloodbath (book extract);NA;SS;15/08/2014;Jacques Steenkamp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Hoekom, Don?;NA;VOLKSBLAD;28/03/2013;STAFF;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Forensic tests find no residue on teenager's hands;NA;STAR;19/11/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Accused's story does not add up;NA;DFA;28/03/2013;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Wroeging oor seun verdagte is;NA;BEELD;27/08/2012;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Evalueer Griekwastad-verdagte vra kenner;NA;VOLKSBLAD;14/06/2015;Jana van der Merwe;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Wat gaan gebuer as ek ieman ontmoet met wie ek wil trou?;NA;RAPPORT;29/03/2014;Herman Scholtz;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Griekwastad wil uit die as verrys;NA;VOLKSBLAD;04/05/2014;Pieter Steyn;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Haastige hondÖ (book review);NA;RAPPORT;23/01/2014;Jan Taljaard;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
GW-stad: Regskoste al miljoene;NA;VOLKSBLAD;27/08/2012;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Seun vuisvoos in sel;NA;VOLKSBLAD;07/06/2014;Jana van der Merwe;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
My trane is myne;NA;VOLKSBLAD;06/11/2012;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Seun het nie kans gegryp;NA;VOLKSBLAD;13/12/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Seun verlig oor uitstel;NA;VOLKSBLAD;12/12/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Griekwastad kinkel;NA;VOLKSBLAD;07/09/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.netwerk24.com/Stemme/Aktueel/Die-diepste-gebede-is-soms-net-n-kreun-20130905;NA;BURGER;24/03/2013;Willemien Brümmer Lerato Maduna;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Haar skok: Kind lag in tronk;NA;RAPPORT;18/04/2012;Hanlie Retief;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.iol.co.za/news/crime-courts/dad-busts-daughter-s-alleged-killers-1.1278861#.VeHMXNOqpHw;Dad busts daughterís alleged killers _ IOL;DAILY VOICE ;19/04/2012;Tshego Lepule SAPA;SAPA;Father hunted perps;3
http://www.news24.com/SouthAfrica/News/Dad-hunts-down-daughters-killers-20120419;Dad hunts down daughter's killers;N24;18/04/2012;STAFF;SAPA;Father hunted perps;3
http://www.news24.com/SouthAfrica/News/Men-held-for-killing-girl-14-in-Cape-Town-20120418;Men held for killing girl, 14, in Cape Town;N24;19/04/2012;STAFF;SAPA;Father hunted perps;3
http://www.algoafm.co.za/djArticle.aspx?id=806;ND;ALGOAFM;19/04/2012;ND;SAPA;Father hunted perps;3
http://m.ewn.co.za/2012/04/19/teen-killers-remain-behind-bars;ëTeen killersí remain behind bars;EWN;19/04/2012;Regan Thaw;SAPA;Father hunted perps;3
http://m24arg02.naspers.com/argief/berigte/dailysun/2012/04/19/DJ/4/COPSRESIDENTS.html;ND;DAILY SUN;20/04/2012;ND;SAPA;Father hunted perps;3
http://www.iol.co.za/news/crime-courts/three-charged-with-teen-s-murder-1.1280476;Three charged with teenís murder _ IOL.pdf;CA;18/04/2012;Jade Witten;SAPA;Father hunted perps;3
http://www.iol.co.za/capetimes/three-nabbed-for-murder-1.1278874#.VeHOM9OqpHw;Three nabbed for murder _ IOL;CT;16/04/2012;STAFF;SAPA;Father hunted perps;3
Baby, 1, Knifed Twice in Neck;NA;CA;16/04/2012;STAFF (illegible);SAPA;Father hunted perps;3
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
